InspectionID,BranchID,InspectionDate,InspectionType,InspectionScore,ComplianceStatus,ViolationCategory,ViolationSeverity,CorrectiveActionStatus,CorrectiveActionDescription
296,18,2023-12-01,Routine,0,Non-Compliant,Documentation Lapse,Critical,Pending,Documentation Lapse issue flagged — corrective action pending.
297,18,2023-12-31,Complaint-Triggered,68,Minor Issues,Expired Ingredient Usage,Low,In Progress,Expired Ingredient Usage issue flagged — corrective action in progress.
298,18,2024-01-30,Follow-up,78,Minor Issues,Kitchen Cleanliness,High,In Progress,Kitchen Cleanliness issue flagged — corrective action in progress.
299,18,2024-02-29,Complaint-Triggered,77,Minor Issues,Food Storage Temperature,Medium,Not Addressed,Food Storage Temperature issue flagged — corrective action not addressed.
300,18,2024-03-30,Follow-up,19,Non-Compliant,Pest Control,High,Not Addressed,Pest Control issue flagged — corrective action not addressed.
301,18,2024-04-29,Surprise,100,Compliant,,,,
302,18,2024-05-29,Routine,6,Non-Compliant,Cross Contamination,Critical,In Progress,Cross Contamination issue flagged — corrective action in progress.
303,18,2024-06-28,Routine,76,Minor Issues,Waste Disposal,Low,Pending,Waste Disposal issue flagged — corrective action pending.
304,18,2024-07-28,Follow-up,28,Non-Compliant,Waste Disposal,Medium,In Progress,Waste Disposal issue flagged — corrective action in progress.
305,18,2024-08-27,Complaint-Triggered,78,Minor Issues,Pest Control,Medium,In Progress,Pest Control issue flagged — corrective action in progress.
306,18,2024-09-26,Routine,78,Minor Issues,Kitchen Cleanliness,High,Completed,Kitchen Cleanliness issue flagged — corrective action completed.
307,18,2024-10-26,Follow-up,35,Non-Compliant,Pest Control,High,Completed,Pest Control issue flagged — corrective action completed.
308,18,2024-11-25,Follow-up,95,Compliant,,,,
309,18,2024-12-25,Routine,46,Major Issues,Documentation Lapse,Low,Completed,Documentation Lapse issue flagged — corrective action completed.
310,18,2025-01-24,Complaint-Triggered,71,Minor Issues,Waste Disposal,High,Completed,Waste Disposal issue flagged — corrective action completed.
311,18,2025-02-23,Routine,82,Minor Issues,Kitchen Cleanliness,Medium,Completed,Kitchen Cleanliness issue flagged — corrective action completed.
312,18,2025-03-25,Surprise,63,Major Issues,Documentation Lapse,Low,Completed,Documentation Lapse issue flagged — corrective action completed.
313,18,2025-04-24,Follow-up,67,Minor Issues,Cross Contamination,Low,Completed,Cross Contamination issue flagged — corrective action completed.
314,18,2025-05-24,Surprise,21,Non-Compliant,Waste Disposal,High,Completed,Waste Disposal issue flagged — corrective action completed.
315,18,2025-06-23,Follow-up,68,Minor Issues,Staff Hygiene,Medium,Completed,Staff Hygiene issue flagged — corrective action completed.
316,19,2022-12-09,Follow-up,75,Minor Issues,Kitchen Cleanliness,Low,In Progress,Kitchen Cleanliness issue flagged — corrective action in progress.
317,19,2023-03-09,Surprise,74,Minor Issues,Waste Disposal,Low,Completed,Waste Disposal issue flagged — corrective action completed.
318,19,2023-06-07,Routine,85,Compliant,,,,
319,19,2023-09-05,Follow-up,87,Compliant,,,,
320,19,2023-12-04,Complaint-Triggered,91,Compliant,,,,
321,19,2024-03-03,Complaint-Triggered,99,Compliant,,,,
322,19,2024-06-01,Complaint-Triggered,99,Compliant,,,,
323,19,2024-08-30,Complaint-Triggered,93,Compliant,,,,
324,19,2024-11-28,Follow-up,97,Compliant,,,,
325,19,2025-02-26,Complaint-Triggered,90,Compliant,,,,
326,19,2025-05-27,Follow-up,92,Compliant,,,,
327,19,2025-08-25,Surprise,91,Compliant,,,,
328,19,2025-11-23,Follow-up,70,Minor Issues,Expired Ingredient Usage,Medium,Completed,Expired Ingredient Usage issue flagged — corrective action completed.
329,19,2026-02-21,Follow-up,88,Compliant,,,,
330,19,2026-05-22,Complaint-Triggered,71,Minor Issues,Expired Ingredient Usage,High,Pending,Expired Ingredient Usage issue flagged — corrective action pending.
331,19,2026-08-20,Routine,150,Compliant,,,,
332,20,2022-12-09,Follow-up,94,compliant,,,,
333,20,2023-03-09,Routine,66,Minor Issues,Waste Disposal,Medium,Completed,Waste Disposal issue flagged — corrective action completed.
334,20,2023-06-07,Surprise,92,Compliant,,,,
335,20,2023-09-05,Follow-up,100,Compliant,,,,
336,20,2023-12-04,Complaint-Triggered,100,Compliant,,,,
337,20,2024-03-03,Surprise,65,Minor Issues,Pest Control,Low,In Progress,Pest Control issue flagged — corrective action in progress.
338,20,2024-06-01,Follow-up,95,Compliant,,,,
339,20,2024-08-30,Follow-up,70,Minor Issues,Kitchen Cleanliness,Medium,Not Addressed,Kitchen Cleanliness issue flagged — corrective action not addressed.
340,20,2024-11-28,Follow-up,97,Compliant,,,,
341,20,2025-02-26,Follow-up,99,Compliant,,,,
342,20,2025-05-27,Routine,90,Compliant,,,,
343,20,2025-08-25,Follow-up,64,Major Issues,Cross Contamination,Medium,Completed,Cross Contamination issue flagged — corrective action completed.
344,20,2025-11-23,Complaint-Triggered,89,Compliant,,,,
345,20,2026-02-21,Surprise,89,Compliant,,,,
346,20,2026-05-22,Follow-up,85,Compliant,,,,
347,20,2026-08-20,Surprise,98,Compliant,,,,
